alpha,J1,J2,theta_1,theta_2,tticks
3.000000e-02,6.417048e-02,2.074845e+00,-2.520302e+01,-4.146023e+00,1.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.478346e+01,-4.277316e+00,1.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.460063e+01,-4.347278e+00,1.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.437828e+01,-4.425024e+00,1.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.412642e+01,-4.507977e+00,1.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.385264e+01,-4.594198e+00,2.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.356285e+01,-4.682225e+00,2.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.326170e+01,-4.770957e+00,2.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.295287e+01,-4.859566e+00,2.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.263931e+01,-4.947438e+00,2.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.232341e+01,-5.034119e+00,2.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.200707e+01,-5.119279e+00,2.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.169185e+01,-5.202686e+00,2.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.137902e+01,-5.284184e+00,2.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.106957e+01,-5.363674e+00,2.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.076432e+01,-5.441105e+00,3.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.046393e+01,-5.516457e+00,3.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.016891e+01,-5.589741e+00,3.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.987966e+01,-5.660987e+00,3.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.959650e+01,-5.730242e+00,3.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.931965e+01,-5.797565e+00,3.500000e-01
