tticks,x1ticks,x2ticks,x3ticks,uticks
2.500000e-01,2.562564e-01,-7.170699e-02,-4.229406e-01,-4.430412e+00
2.600000e-01,1.683467e-01,-1.415895e-01,-6.059880e-01,-4.379692e+00
2.700000e-01,3.072348e-01,4.228677e-02,-6.286886e-01,-4.345350e+00
2.800000e-01,2.696972e-01,-5.604399e-02,-3.818234e-01,-4.366850e+00
2.900000e-01,4.268832e-01,3.593579e-02,-4.903309e-01,-4.288922e+00
3.000000e-01,2.310756e-01,1.128623e-01,-5.072515e-01,-4.185190e+00
3.100000e-01,4.623422e-01,-1.111010e-02,-4.564469e-01,-3.911534e+00
3.200000e-01,3.297356e-01,-7.240744e-02,-5.076922e-01,-4.121389e+00
3.300000e-01,3.506481e-01,2.183908e-02,-4.778853e-01,-3.959176e+00
3.400000e-01,2.325804e-01,7.450042e-02,-4.541250e-01,-4.088654e+00
3.500000e-01,2.023501e-01,2.569986e-02,-6.638933e-01,-3.862657e+00
3.600000e-01,2.861578e-01,-2.265889e-02,-5.017795e-01,-3.816012e+00
3.700000e-01,3.056917e-01,-2.807741e-02,-5.076306e-01,-3.789850e+00
3.800000e-01,1.572490e-01,-1.249933e-01,-4.637270e-01,-3.780194e+00
3.900000e-01,3.141363e-01,-3.937037e-02,-4.735079e-01,-3.956007e+00
4.000000e-01,2.259539e-01,-3.254286e-02,-6.279593e-01,-3.743974e+00
4.100000e-01,3.446577e-01,2.935041e-02,-4.897839e-01,-3.626213e+00
4.200000e-01,3.998272e-01,4.484231e-02,-6.019619e-01,-3.824042e+00
4.300000e-01,1.127630e-01,-1.436843e-02,-5.362182e-01,-3.642000e+00
4.400000e-01,2.289220e-01,-1.192477e-01,-4.887727e-01,-3.437598e+00
4.500000e-01,2.739829e-01,-1.792200e-01,-4.020897e-01,-3.511478e+00
4.600000e-01,7.551320e-02,-3.401505e-02,-4.492325e-01,-3.336994e+00
4.700000e-01,4.081277e-02,-6.689569e-02,-4.669140e-01,-3.464510e+00
4.800000e-01,1.304081e-01,-3.277814e-02,-6.335837e-01,-3.265154e+00
4.900000e-01,3.888104e-01,-2.857568e-01,-4.776486e-01,-3.331688e+00
5.000000e-01,4.606174e-01,9.472102e-03,-3.687894e-01,-3.238802e+00
5.100000e-01,2.344305e-01,-2.378128e-02,-6.947923e-01,-3.410084e+00
5.200000e-01,2.525043e-01,-6.619675e-02,-4.340254e-01,-3.373479e+00
5.300000e-01,3.148502e-01,-9.905843e-02,-7.230975e-01,-3.136648e+00
5.400000e-01,3.779194e-01,-2.116655e-03,-5.043256e-01,-3.181659e+00
5.500000e-01,3.838294e-01,-4.175280e-02,-4.306253e-01,-3.288969e+00
5.600000e-01,5.457930e-01,-1.375788e-01,-6.375204e-01,-3.112786e+00
5.700000e-01,3.418060e-01,-6.687747e-02,-3.873867e-01,-3.064436e+00
5.800000e-01,1.770380e-01,-1.656416e-01,-4.392905e-01,-3.076141e+00
5.900000e-01,5.249894e-01,-1.500300e-01,-3.599409e-01,-3.077517e+00
6.000000e-01,1.926068e-01,7.866159e-02,-4.032369e-01,-2.893225e+00
6.100000e-01,2.211416e-01,-2.630310e-01,-4.925438e-01,-2.844808e+00
6.200000e-01,3.815851e-01,-2.002360e-01,-4.113490e-01,-2.921998e+00
6.300000e-01,3.076314e-01,1.849693e-01,-4.418248e-01,-2.673167e+00
6.400000e-01,2.960922e-01,-7.242101e-02,-6.245028e-01,-2.818494e+00
6.500000e-01,2.890311e-01,-4.411777e-02,-3.976067e-01,-2.932458e+00
6.600000e-01,1.536353e-01,5.022493e-02,-3.934028e-01,-2.697161e+00
6.700000e-01,1.581839e-01,-2.813905e-01,-3.804490e-01,-2.583585e+00
6.800000e-01,1.181954e-01,8.707669e-02,-4.072573e-01,-2.820631e+00
6.900000e-01,3.605364e-01,1.537702e-02,-4.260022e-01,-2.409499e+00
7.000000e-01,1.944581e-01,-1.969493e-01,-6.784081e-01,-2.593133e+00
7.100000e-01,1.096403e-01,-1.210540e-01,-2.505264e-01,-2.613615e+00
7.200000e-01,3.298131e-01,-5.170358e-02,-4.933650e-01,-2.470667e+00
7.300000e-01,2.557997e-01,-1.834652e-01,-4.685199e-01,-2.521149e+00
7.400000e-01,1.499048e-01,-1.623424e-01,-3.086718e-01,-2.340839e+00
7.500000e-01,3.082560e-01,-1.516790e-01,-4.442091e-01,-2.272089e+00
7.600000e-01,3.221919e-01,-1.159683e-01,-4.830105e-01,-2.330661e+00
7.700000e-01,3.275470e-01,-1.675325e-01,-3.145058e-01,-2.344923e+00
7.800000e-01,2.151707e-01,-4.376227e-02,-3.995694e-01,-2.485130e+00
